,name,price,imgURL
178,"realme 11 Pro 5G (Sunrise Beige, 128 GB)",23999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/8/d/-original-imagqadpnygfnn2v.jpeg?q=70
179,"realme 11 Pro 5G (Astral Black, 256 GB)",24999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/t/2/11-pro-5g-rmx3771-realme-original-imagq6aszgmb4xja.jpeg?q=70
180,"realme C1 (Mirror Black, 32 GB)",8999.0,https://rukminim2.flixcart.com/image/312/312/jqzitu80/mobile/w/w/c/realme-c1-na-original-imafcvntdhsc66wb.jpeg?q=70
181,"realme GT NEO 3 (150W) (Nitro Blue, 256 GB)",42999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/a/f/2/-original-imagetmecznbydne.jpeg?q=70
182,"realme Narzo N53 (Feather Gold, 128 GB)",11980.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/m/p/narzo-n53-rmx3761-realme-original-imagpygt4ywjecxk.jpeg?q=70
183,"realme C12 (Power Blue, 32 GB)",10999.0,https://rukminim2.flixcart.com/image/312/312/kdxfc7k0/mobile/k/q/t/realme-c12-rmx2189-original-imafupuyk9wynufy.jpeg?q=70
184,"realme Narzo 60 5G (?Cosmic Black, 128 GB)",19977.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/m/j/narzo-60-5g-rmx3750-realme-original-imagrht23qxhxk4h.jpeg?q=70
185,"realme Narzo 60 5G (Mars Orange, 128 GB)",19999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/f/a/narzo-60-5g-rmx3750-realme-original-imagrhsyynghwkjg.jpeg?q=70
186,"realme Narzo 60 5G (Mars Orange, 256 GB)",20999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/f/a/narzo-60-5g-rmx3750-realme-original-imagrhsyynghwkjg.jpeg?q=70
187,"realme Narzo 60 5g (Cosmic Black, 256 GB)",20999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/m/j/narzo-60-5g-rmx3750-realme-original-imagrht23qxhxk4h.jpeg?q=70
188,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",27999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/8/d/-original-imagqadpnygfnn2v.jpeg?q=70
189,"realme Narzo N53 (Feather Black, 64 GB)",10380.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/n/r/narzo-n53-rmx3761-realme-original-imagpygzxcuysz9k.jpeg?q=70
190,"realme GT NEO 3 (150W) (Asphalt Black, 256 GB)",42999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/h/a/n/-original-imagetmezh7hj2zk.jpeg?q=70
191,"realme 2 Pro (Blue Ocean, 64 GB)",15990.0,https://rukminim2.flixcart.com/image/312/312/jmi22kw0/mobile/x/t/v/realme-2-pro-rmx1801-original-imaf9e3vt9p32yhm.jpeg?q=70
192,"realme 2 Pro (Ice Lake, 64 GB)",13990.0,https://rukminim2.flixcart.com/image/312/312/jmgmmq80/mobile/x/m/y/realme-2-pro-rmx1801-original-imaf9cu2przq9g8z.jpeg?q=70
193,"realme 2 Pro (Black Sea, 64 GB)",13990.0,https://rukminim2.flixcart.com/image/312/312/jmi22kw0/mobile/t/v/g/realme-2-pro-rmx1801-original-imaf9e3vmfr9jewh.jpeg?q=70
194,"realme 6 (Comet Blue, 128 GB)",15999.0,https://rukminim2.flixcart.com/image/312/312/k7dnonk0/mobile/7/n/f/realme-6-rbs0605in-original-imafpmftxfvhbrm9.jpeg?q=70
195,"realme X2 Pro (Neptune Blue, 256 GB)",35999.0,https://rukminim2.flixcart.com/image/312/312/k391w280/mobile/z/c/m/realme-x2-pro-rmx1931-original-imafmf597chy5p8u.jpeg?q=70
196,"realme C30s (Royal Blue, 32 GB)",7449.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/o/v/c30s-rmx-3690-realme-original-imagqhn3mzz4bhrp.jpeg?q=70
